,latlon,source
"ABERDEEN, NC","35.131547,-79.4294789",ap
"ABERDEEN, WA","46.975371,-123.815722",ap
"ABILENE, KS","38.917252,-97.21377",ap
"ACHESON, AB","53.5459141,-113.7715761",ap
"ACKERMAN, GA","33.4605037,-82.2499504",ap
"ACKERMAN, MS","33.3101243,-89.1728434",ap
"ADA, OH","38.8398935,-83.5051704",ap
"Addis, AL","30.3538043,-91.2653865",ap
"ADEL, GA","31.1371358,-83.4234936",ap
"ADELL, WI","43.6191633,-87.9520364",ap
"ADRIAN (ADBF), MI","41.9002649,-84.11956",mg
"ADRIAN, MI","41.8975152,-84.0373054",ap
"ADVANCE, LA","36.5157803,-118.9026011",ap
"AGINCOURT, ON","43.7853531,-79.2785494",ap
"ALBANY, GA","31.5782062,-84.1556809",ap
"ALBANY, NY","42.6511674,-73.754968",ap
"ALBANY, OR","44.6365071,-123.1059324",ap
"Albert City, IA","42.7819199,-94.9485993",ap
"Albion, NE","41.6929347,-98.0012269",ap
"Alchem, WY","41.5976215,-109.7623333",mg
"Alexander, MB","49.8298034,-100.293761",ap
"ALEXANDRIA, IN","40.2574293,-85.7488059",mg
"ALEXANDRIA, VA","38.8147596,-77.09024765",ap
"ALLEMANIA, LA","30.2613062,-91.2184404",ap
"Allemania, LA","30.2613062,-91.2184404",ap
"ALLENTOWN (RJCN, PA","40.5931373,-75.5188394",mg
"ALLIANCE, TX","31.4651816,-97.1754089",ap
"Alma, PQ","48.5473444,-71.8360291",mg
"Almeda, TX","29.604122,-95.4171624",ap
"ALMENA, KS","39.892229,-99.707058",ap
"ALPENA, MI","45.0616794,-83.4327528",ap
"ALTAMIRA, TM","22.5632643,-98.2216566",mg
"Alto, MI","42.8565044,-85.3804447",ap
"ALTON, IL","38.8906038,-90.1842764",ap
"ALTOONA, PA","40.518681,-78.394736",ap
"ALTUS, OK","34.6381255,-99.3339754",ap
"Altus, OK","34.6381255,-99.3339754",ap
"AMARILLO, TX","35.2072185,-101.8338246",ap
"Ambrose, GA","31.5938031,-83.0143147",ap
"AMELIA, TX","30.0699357,-94.1910161",ap
"Amelia, TX","30.0699357,-94.1910161",ap
"AMERICUS, GA","32.0723862,-84.2326876",ap
"AMOCO, VA","38.8734985,-77.15263055",ap
"AMORY, MS","33.9842768,-88.488099",ap
"Amos, PQ","48.6110925,-78.2929746",mg
"AMOS, PQ","48.6106402,-78.2922469",mg
"ANACONDA, MT","46.128794,-112.942369",ap
"ANAHUAC, CI","25.7366121,-100.2966936",ap
"Anchorage, LA","30.4827254,-91.2278958",mg
"ANDERSON, CA","44.2022414,-76.9276688",ap
"ANNAPOLIS, MO","37.3603272,-90.6976197",ap
"ANSONVILLE, NC","35.1045943,-80.1092259",ap
"APASEO, GJ","20.5488221,-100.7506043",mg
"APPLE GROVE, WV","37.4376116,-81.8048366",ap
"APPLIANCE PARK, KY","37.0774652,-85.3351955",ap
"ARBELA, MS",",",
"ARBUCKLE, CA","46.8977297,-67.3886632",ap
"ARCADE, NY","42.5339513,-78.4230737",ap
"Arcadia, LA","34.1362075,-118.0401497",ap
"ARENA, WI","43.165548,-89.9129013",ap
"ARGO, IL","33.6882155,-86.50140448",ap
"Argo, IL","33.6882155,-86.50140448",ap
"Arkansas City, KS","37.0622562,-97.0388338",ap
"ARLINGTON, OH","39.8664423,-84.4246705",ap
"ARMOREL, AR","35.9213823,-89.8113569",ap
"ARMOURDALE, KS","39.0845051,-94.64141301",ap
"ARMSTRONG, BC","50.4435749,-119.1944058",ap
"ARRIBA, CO","39.2860997,-103.2754955",ap
"Arvada, CO","39.8211225,-105.220743",ap
"Ascension,  LA","30.2050097,-91.1498876",mg
"ASHFORDJC, NY","42.3203097,-78.6258827",mgdc
"ASHLEY, MI","33.1742582,-91.7295595",ap
"ATHOL, KS","39.7650117,-98.9195242",ap
"ATIKOKAN, ON","48.762526,-91.624603",ap
"Atikokan, ON","48.762526,-91.624603",ap
"ATMORE, AL","31.0237921,-87.4938708",ap
"AUBURN, ME","44.0978509,-70.2311655",ap
"AUBURN, MI","32.527002,-85.43674841",ap
"AUGUSTA, GA","33.4709714,-81.9748429",ap
"Augusta, GA","33.4709714,-81.9748429",ap
"Augusta, Ga","33.4709714,-81.9748429",ap
"AUGUSTA, MS","31.2024033,-89.0347743",ap
"Augusta, WI","44.6802386,-91.1198755",ap
"AURORA, IL","41.7571701,-88.3147539",ap
"Aurora, SD","43.6963371,-98.5722461",ap
"AUSTIN, MN","43.6680928,-92.9744896",ap
"AUTAUGA CREEK, AL","32.4601504,-86.4761952",ap
"Autauga, AL","32.5165255,-86.6319403",ap
"AVALON, WI","42.6327908,-88.8676077",ap
"AYER, MA","42.5612021,-71.5897897",ap
"BAIE COMEAU, PQ","49.1736113,-68.391239",mg
"Baie Comeau, PQ","49.1736113,-68.391239",mg
"Baie comeau, PQ","49.1736113,-68.391239",mg
"BAKERSFIELD, CA","35.3738712,-119.0194639",ap
"BAKERSTOW, PA","40.6509307,-79.953997",mg
"BALDWINSVILLE, NY","43.158679,-76.33271",ap
"BALTIMORE CANTO, MD","39.2814871,-76.5856031",mgdc
"BALTIMORE DUNDA, MD","39.260692,-76.6271462",mgdc
"BALTIMORE, MD","39.2908816,-76.610759",ap
"BARABOO, WI","43.4704014,-89.7437844",ap
"BARDWELL, WI","42.5869591,-88.7506606",ap
"BARIN, GA","32.5890273,-84.9463209",ap
"BARNESVILLE, GA","33.0545709,-84.1557496",ap
"Baroid, WY","29.1235098,-90.21293155",ap
"BARR YARD, IL","41.6484381,-87.6440881",mg
"BARRY, AL","39.247144,-94.5812492",ap
"BARWICK, ON","48.6470474,-93.9848646",ap
"BATAVIA, IL","41.8456936,-88.3813538",mg
"BATAVIA, NY","42.9980144,-78.1875515",ap
"BATESVILLE, AR","35.769799,-91.6409722",ap
"Batesville, AR","35.769799,-91.6409722",ap
"BATON ROUGE , LA","30.4459596,-91.18738",ap
"BATON ROUGE, LA","30.4459596,-91.18738",ap
"Baton Rouge, LA","30.4459596,-91.18738",ap
"BATTLE CREEK, MI","42.3192548,-85.1824269",ap
"Battle Mountain, NV","40.6421334,-116.9342671",ap
"BAY CITY, MI","28.9827565,-95.969402",ap
"BAY MINETTE, AL","30.8829628,-87.7730474",ap
"BAYOU PIERRE, LA","31.984385,-91.037919",ap
"BAYPORT, TX","29.526772,-98.351485",ap
"BAYTOWN, TX","29.7355047,-94.9774274",ap
"Baytown, TX","29.7355047,-94.9774274",ap
"Bear Run, IN","44.7063323,-78.0555902",ap
"BEARDEN, AR","33.7245526,-92.6157139",ap
"BEARDSTOWN, IL","40.0175483,-90.4242916",ap
"Beauharnois, PQ","45.2988385,-74.0342934",mg
"BEAUMONT, MS","31.1693496,-88.9200444",ap
"BEAUMONT, TX","30.0860459,-94.1018461",ap
"BEAVER DAM, OH","39.0306272,-82.8243382",ap
"BEAVER DAM, WI","43.4577692,-88.837329",ap
"Becancour, PQ","46.3244314,-72.6672825",mg
"Beckham, OK","35.2496723,-99.6946079",ap
"BEECH GROVE, IN","39.7221906,-86.0894158",ap
"BELGRADE, MT","45.773279,-111.184535",ap
"BELK, AL","33.647611,-87.9314109",ap
"BELLAIRE, KS","39.7983453,-98.6761812",ap
"BELLEDUNE, NB","47.8926616,-65.8237545",ap
"BELLEVILLE, IL","38.5200504,-89.9839935",ap
"BELLEVILLE, KS","39.8246673,-97.6325554",ap
"BELLEVUE, OH","41.2736647,-82.8415763",ap
"BELLMAWR, NJ","39.8676134,-75.0946183",ap
"BELOIT, KS","39.458684,-98.108282",ap
"Belvidere, NE","40.2519471,-97.5578197",ap
"BEMIDJI, MN","47.4785418,-94.8907869",ap
"Bemidji, MN","47.4785418,-94.8907869",ap
"BENEZETTE, PA","41.3167275,-78.386405",ap
"BENTONITE, WY","44.085218,-107.586847",ap
"Bentonite, WY","44.085218,-107.586847",ap
"Bergen, NJ","40.9678345,-74.0563254",ap
"Bethlehem, PA","40.6254174,-75.5061225",mg
"BIDYARD, AR",",",
"BIEBER, CA","41.1212775,-121.1441396",ap
"BIG BEND, FL","27.354367,-81.228484",ap
"Big Horn,  WY","44.4952545,-108.0024782",ap
"Big Springs, TX","32.0673855,-94.9674399",ap
"BIG STONE CITY, SD","45.291632,-96.462834",ap
"Biggs, MD","39.0796648,-76.7819196",ap
"Bingham, MN","43.9113575,-95.0656857",mg
"BINGHAM, PA","41.8170072,-78.6119698",ap
"BINGHAMTON, NY","42.096968,-75.914341",ap
"BIRMINGHAM, AL","33.5206824,-86.8024326",ap
"BIRON, WI","44.4238544,-89.780401",ap
"BISHOP, WY","42.957466,-106.4500329",ap
"Blaine, OK","35.8970899,-98.4225961",ap
"BLAIR, NE","41.5444379,-96.1250151",ap
"Blair, WI","44.2944029,-91.2351602",ap
"Bliss, ID","42.9267744,-114.9492739",ap
"Bloomfield, IN","39.0269903,-86.9375068",ap
"Bloomfield,IN","39.0269903,-86.9375068",ap
"Bloomington, IN","39.1670396,-86.5342881",ap
"BLOOMINGTON, TX","28.6481586,-96.8933907",ap
"Bloomington, TX","28.6481586,-96.8933907",ap
"BLOOMSBURG, PA","41.0044958,-76.4537302",ap
"Blue Earth,  MN","44.0109722,-94.0560643",ap
"BLUE ISLAND, IL","41.65530805,-87.67759063",ap
"BLUE RIDGE, AB","50.5721494,-114.5266628",ap
"BLUE SPRINGS, MS","34.4017697,-88.8728369",ap
"BOARDMAN, OR","45.839855,-119.7005834",ap
"Boardman, OR","45.839855,-119.7005834",ap
"Boeuf, LA","29.6613206,-91.0962114",ap
"BOGALUSA, LA","30.7910204,-89.8486858",ap
"BOLIGEE, AL","32.7559654,-88.0289072",ap
"Bolivar, GA","34.3698142,-84.7116017",ap
"BONLEE, NC","35.6459769,-79.4144654",ap
"Borger, TX","35.6678204,-101.3973876",ap
"Boron, CA","35.0199035,-117.6680603",ap
"BOSCOBEL, WI","43.1344278,-90.7054009",ap
"BOSTIC, NC","35.362623,-81.835657",ap
"BOWERBANK, CA","35.3994055,-119.4084485",ap
"BOWLING GREEN, KY","36.9903199,-86.4436018",ap
"BOWMAN, ND","46.1010498,-103.5086625",ap
"BOYCE, TN","35.076777,-85.255459",ap
"BOYKINS, VA","36.583207,-77.1999675",ap
"BRADENTON, FL","27.4989278,-82.5748194",ap
"BRADFORD, PA","41.7746685,-76.5264613",ap
"BRAMPTON STATION, GA","43.6858146,-79.7599337",ap
"BRAMPTON, GA","43.6858146,-79.7599337",ap
"BRANDON, MB","49.8511143,-99.9608924",ap
"Brandon, MB","49.8511143,-99.9608924",ap
"BRANDON, WI","43.7352624,-88.7812212",ap
"BRANTFORD, ON","43.1554354,-80.2665916",ap
"BRECKENRIDGE, MI","39.4816537,-106.0383518",ap
"BREWSTER, KS","39.3666687,-101.3768295",ap
"Brewster, MN","43.698573,-95.4686153",ap
"BREWTON, AL","31.1051779,-87.0721918",ap
Bridge,",",
"BRIDGEVILLE (DC, DE","38.7336028,-75.63557",mg
"BRILLS, NJ",",",
"BROCKPORT, NY","43.213671,-77.93918",ap
"Brockville, ON","44.6039207,-75.7016829",ap
"BROCKWAY, PA","41.2492279,-78.7994738",ap
"BRODHEAD, WI","42.6197159,-89.3768296",ap
"BROKEN BOW, OK","34.0292764,-94.7391045",ap
"Brookfield, NS","45.26572075,-63.21361369",ap
"BROOKHAVEN, MS","31.5790588,-90.4406506",ap
"BROOKLAWN, LA","39.8781689,-75.120731",ap
"BROOKS, OR","45.0475594,-122.9575834",ap
"BROWNSVILLE, PA","40.0236854,-79.8839357",ap
"BROWNSVILLE, TX","25.9140256,-97.4890856",ap
"BROWNWOOD, TX","31.7070026,-98.9831022",ap
"BRUNS, LA","30.2268315,-91.0728284",mg
"BRUNSWICK MILLS, NB","45.7736968,-66.5280128",ap
"BRUNSWICK MINE, NB","47.439703,-65.818505",ap
"BRUNSWICK, GA","31.1499528,-81.4914894",ap
"BUFFALO, NY","42.8867166,-78.8783922",ap
"BUHL, ID","42.5990714,-114.7594946",ap
"Buhl, ID","42.5990714,-114.7594946",ap
"BULLS GAP, TN","36.2570407,-83.0859967",ap
"BURKE, WI","43.1358279,-89.2762273",ap
"BURKEVILLE, AL","37.1876529,-78.2013859",ap
"BURLINGTON, CO","39.3047907,-102.2692394",ap
"BURNETT, WI","45.8652437,-92.2673161",ap
"BURNS HARBOR , IN","41.6258708,-87.1333676",ap
"BURNS HARBOR, IN","41.6258708,-87.1333676",ap
"BUTLER, IN","41.4297694,-84.8713507",ap
"BUTLER, KY","37.240158,-86.673921",ap
"BUTLER, PA","40.8610205,-79.8952251",ap
"CADEREYTA, NL","25.6044179,-99.9498408",ap
"Cairo, IL","37.0297748,-89.322962",mg
"CALEDONIA, ON","43.073426,-79.9536089",ap
"CALGARY TFR, AB","50.9878219,-113.9985859",mg
"Calgary, AB","51.02714,-114.6497598",mg
"CALGARY, AB","51.02532675,-114.0498685",ap
"CALHOUN, GA","31.5311784,-84.614328",ap
"CALHOUN, TN","35.296462,-84.7479962",ap
"CALLERY, PA","40.7406213,-80.0364489",ap
"CALVERT CITY, KY","37.0333896,-88.3500362",ap
"Calvert City, KY","37.0333896,-88.3500362",ap
"CALVERT, AL","31.1551748,-88.0099997",ap
"CAMBRIA, WI","43.542207,-89.1073356",ap
"Cambridge, OK","35.0728331,-99.2053572",ap
"CAMERON, VA","38.8017705,-77.1341729",ap
"CAMHILL, PA","40.2446203,-76.9609001",mgdc
"CAMILLUS, NY","43.039233,-76.3040965",ap
"CAMP HILL, PA","40.2398118,-76.9199742",ap
"CAMPBELL CREEK , BC","49.5199252,-119.2231477",ap
"Campbell Creek TFR, BC","50.6588276,-120.1195759",mg
"CANDOR, NC","35.2951421,-79.7453164",ap
"Caney, KS","37.0114608,-95.9352584",ap
"CANGREJERA, VL","18.1321333,-94.4675077",mgdc
"Canora, SK","51.6361187,-102.4307941",ap
"CANTON, OH","40.7989522,-81.3784445",ap
"Canton, OH","40.7989522,-81.3784445",ap
"CANTONMENT, FL","30.5798041,-87.3928984",mg
"CAP DE LA MADEL, PQ","46.3822994,-72.5984697",mg
"CAPE GIRARDEAU, MO","37.3058839,-89.5181476",ap
"Captain Mine, IL","38.00642,-89.54231",dc
"CARLSBAD, NM","32.4207262,-104.2287757",ap
"Carlsbad, NM","32.4207262,-104.2287757",ap
"CARO, MI","43.491132,-83.396897",ap
"Carol, IN","43.117821,-71.426686",ap
"Carrington, ND","47.44972,-99.126224",ap
"CARROLLTON, TX","32.9537349,-96.8902816",ap
"CARROT RIVER, SK","53.284101,-103.584595",ap
"CARSELAND, AB","50.8516661,-113.4684345",ap
"CARTERSVILLE, GA","34.1650972,-84.7999383",ap
"CARUSO, KS","39.3386105,-101.815453",ap
"CASA GRANDE, AZ","32.9109186,-111.7736386",ap
"CASPER, WY","42.866632,-106.313081",ap
"Cass,  NE","40.9017313,-96.1922102",ap
"CASTLE HAYNE, NC","34.3557241,-77.8999864",ap
"CASTLEBERRY, AL","31.2990599,-87.0224721",ap
"CASTLEGAR, BC","49.316171,-117.663574",ap
"Castlegar, BC","49.316171,-117.663574",ap
"Castro,  TX","34.4952536,-102.2592314",ap
"CATAWBA, SC","34.8529233,-80.9111862",ap
"Catlettsburg, KY","38.4048042,-82.6004369",ap
"CAUSAPSCAL, PQ","48.3768043,-67.5019313",mg
"Causapscal, PQ","48.3768043,-67.5019313",mg
"CAWKER CITY, KS","39.51251,-98.433672",ap
"CAYUGA, IN","39.9486489,-87.4597385",ap
"Cayuga, IN","39.9486489,-87.4597385",ap
"CDN Superior Oil, AB",",",
"CEDAR CITY, UT","37.6774238,-113.0618277",ap
"CEDAR FALLS, IA","42.5274123,-92.4453179",ap
"CEDAR RAPIDS, IA","41.9758872,-91.6704053",ap
"CEDRAPIDS, IA","41.9653073,-91.9435887",mg
"CENTENNIAL PARK, UT","37.60975745,-109.4823125",ap
"CENTRAL VALLEY, CA","38,-121.4",ap
"CENTRAL, FL","27.7567667,-81.4639835",ap
"Centralia, WA","46.7246361,-123.0361037",mg
"CENTRALIA, WA","46.7204489,-122.9614303",ap
"Chalmette, LA","29.9427892,-89.9629372",ap
"CHAMBERSBURG, PA","39.9405903,-77.6598624",ap
"CHAMPAIGN, IL","40.1164205,-88.2433829",ap
"CHANNELVIEW, TX","29.7760599,-95.1146533",ap
"CHAPAIS, PQ","49.7841395,-74.903642",mg
"Chapais, PQ","49.7841395,-74.903642",mg
"CHAPMAN, AL","31.6712685,-86.7121955",ap
"CHAPMAN, PA","40.7606517,-75.404626",ap
"CHARLESTON, SC","32.7876012,-79.9402728",ap
"CHARLESTON, TN","35.4959148,-89.5089638",ap
"CHARLOTTE, NC","35.2270869,-80.8431268",ap
"CHARNY, PQ","46.711925,-71.2967863",mg
"CHASM, BC","51.2080811,-121.5082373",ap
"Chasm, BC","51.2080811,-121.5082373",ap
"CHATTANOOGA, TN","35.0456297,-85.3096801",ap
"Chattanooga, TN","35.0456297,-85.3096801",ap
"Chauvin, AB","52.6939247,-110.1438376",ap
"CHEHALIS, WA","46.6599653,-122.9634322",ap
"CHESAPEAKE, VA","36.7183708,-76.2466798",ap
"CHESNEE, SC","35.1484549,-81.8609371",ap
"Chester Tilghman, PA","39.8386976,-75.377284",ap
"Chester,  SC","34.6859896,-81.1545073",ap
"CHESTER, IL","37.9147352,-89.897802",mg
"CHETWYND, BC","55.6958928,-121.6381789",ap
"Chetwynd, BC","55.6958928,-121.6381789",ap
"Cheyenne,  NE","41.2053619,-102.9796713",ap
"CHICAGO , IL","41.8755616,-87.6244212",ap
"CHICAGO HEIGHTS, IL","41.5062834,-87.6357079",ap
"Chicago Heights, IL","41.5062834,-87.6357079",ap
"Chicago Inter Term, IL",",",
"CHICAGO, IL","41.8755616,-87.6244212",ap
"Chicago, IL","41.8755616,-87.6244212",ap
"Chicago, IL -Rule 11 beyond",",",
"CHICKASAW, AL","30.7637991,-88.0747222",ap
"CHICKASHA, OK","35.052565,-97.9364326",ap
"CHIHUAHUA, CI","31.7146847,-106.4089068",ap
"CHILLICOTHE, MO","39.7948749,-93.5532779",ap
"CHILLICOTHE, OH","39.3331197,-82.9824019",ap
"CHIPMAN, NB","46.1778309,-65.8774732",ap
"CHOCOLATE BAYOU, TX","29.3132939,-95.2521556",ap
"Chocolate Bayou, TX","29.3132939,-95.2521556",ap
"CHOPIN, LA","31.4968738,-92.876832",mg
"CICERO, IL","41.8455878,-87.7539448",ap
"CITY OF COMMERCE, CA","33.9952013,-118.2275771",mg
"CITY POINT, FL","28.4061231,-80.7573222",ap
"City Point, FL","28.4061231,-80.7573222",ap
"CIUDAD FRONTERA, CU","26.9325923,-101.4957503",ap
"CIUDAD OBREGON, SO","27.4846619,-109.9337782",ap
"CLARE, MI","43.9688673,-84.8505091",ap
"CLARKSFIELD, OH","41.1950529,-82.4115563",ap
"CLARKSON, ON","43.5110439,-79.6299343",ap
"CLAVET, SK","51.995874,-106.376495",ap
"CLAY, DE","38.7340694,-88.4910693",ap
"CLAYPOOL, IN","41.129211,-85.8805466",ap
"Clayton, IA","42.8547706,-91.3667151",ap
"CLEAR CREEK JCT, CA","40.2979745,-121.0661246",mg
"CLEARING, IL","41.780588,-87.7733881",ap
"Cleveland, OH","41.5051613,-81.6934446",ap
"CLEVELAND, TN","35.1595182,-84.8766115",ap
"CLIFTON, NJ","40.8584328,-74.1637553",ap
"Clinton,  IA","41.8444735,-90.1887379",ap
"CLINTON, IA","41.8444735,-90.1887379",ap
"Clinton, IA","41.8444735,-90.1887379",ap
"Clinton, OK","35.5156056,-98.9673069",ap
"CLINTON, WI","42.5577925,-88.865107",ap
"CLOE, PA","40.9370083,-78.932533",ap
"CLOQUET, MN","46.7216102,-92.4593566",ap
"CLOVER BAR, AB","33.4013868,-84.5859184",ap
"Clover Bar, AB","35.111064,-81.22606027",ap
"CLYDE, OH","41.3042201,-82.975192",ap
"COCHRANE, ON","49.1457969,-81.2141776",mg
"COCOA ROCKLEDGE, FL","28.3861159,-80.7419984",ap
"COFFEYVILLE, KS","37.0372999,-95.6163634",ap
"COLBY, KS","39.3959655,-101.0526881",ap
"COLLIER, CA",",",
"COLTON, CA","34.0739016,-117.3136547",ap
"COLUMBIA CITY, IN","41.156928,-85.4884616",ap
"COLUMBIA FALLS, MT","48.3697168,-114.1915824",ap
"COLUMBIA JUNCTI, WA",",",
"COLUMBIA JUNCTION , WA","46.47172975,-119.3342179",ap
"COLUMBUS GROVE, OH","40.9196719,-84.05678",ap
"COLUMBUS, KS","37.1692278,-94.8441239",ap
"COLUMBUS, MS","33.4956744,-88.4272627",ap
"COLUMBUS, NE","41.4296258,-97.3684294",ap
"COLUMBUS, OH","39.9622601,-83.0007065",ap
"Columbus, OH","39.9622601,-83.0007065",ap
"COLVILLE, WA","48.5465695,-117.905537",ap
"COMCITY, CO","39.8109086,-104.9371934",mgdc
"Comer, GA","34.0637227,-83.1254261",ap
"Concord, CA","37.9737343,-122.1389088",mg
"CONCORD, ON","32.3134868,-92.4945901",ap
"Concord, ON","32.3134868,-92.4945901",ap
"CONCORDIA, KS","39.571543,-97.661141",ap
"CONEJO, CA","36.5182834,-119.7190244",ap
"Conejo, CA","36.5182834,-119.7190244",ap
"Conner, CA","35.180014,-119.1158791",ap
"CONSTITUTION, GA","33.688923,-84.3600098",mg
"Contra Costa,  CA","37.9034806,-121.9175345",ap
"Conway, PA","40.6658258,-80.2751027",mg
"CONWAY, SC","33.8360035,-79.0478143",ap
"Cook,  IL","41.8197385,-87.756525",ap
