,latlon,source
"MONTPELIER, OH","41.5844951,-84.6055076",ap
"MONTREAL EAST, PQ","45.6292626,-73.5612178",mg
"Montreal Racine Ter, PQ",",",
"Montreal Tasch Yard, PQ",",",
"Montreal Termont, PQ",",",
"Montreal Viau Term, PQ",",",
"Montreal Wharf, PQ",",",
"MONTREAL, PQ","45.5581787,-74.0112116",mg
"Montreal, PQ","45.5581787,-74.0112116",mg
"MOORESVILLE, NC","35.5848596,-80.8100724",ap
"MOOSE JAW, SK","50.401515,-105.542908",ap
"MORELIA, MH","19.698193,-101.1768656",ap
"Morgan,  AL","34.4296848,-86.8529584",ap
"MORRIS, MN","45.586072,-95.913941",ap
"MORRISTOWN, IN","39.6732065,-85.6989709",ap
"MORRISTOWN, TN","36.2139814,-83.2948923",ap
"MORRISVILLE, PA","40.2114978,-74.7879399",ap
"Mosinee, WI","44.7927298,-89.7035959",ap
"MOULTRIE, GA","31.1811523,-83.7878809",ap
"Moultrie, GA","31.1811523,-83.7878809",ap
"MOUND CITY, IL","37.0853292,-89.1625731",ap
"Mound City, IL","37.0853292,-89.1625731",ap
"MOUNDSVILLE, WV","39.9203526,-80.7431407",ap
"MOUNDVILLE, AL","32.9976242,-87.6300075",ap
"MOUNT CARMEL JCT, PA",",",
"MOUNT CARMEL, PA","40.7968393,-76.4131097",ap
"Mount Holly, SC","33.0343383,-80.0345301",ap
"MOUNT PLEASANT, TX","33.1570582,-94.9694007",ap
"Mountain Home, ID","43.1329504,-115.6911975",ap
"MOYIE SPRINGS, ID","48.7263285,-116.1885283",ap
"MT HEBRON, AL","34.1423179,-86.2894244",ap
"MT HOLLY SPRINGS, PA","40.1184235,-77.1899817",ap
"MT HOLLY, NC","35.2981943,-81.0159081",ap
"MT JEWETT, PA","41.725618,-78.6383591",ap
"MT POCONO, PA","41.1220987,-75.3646997",ap
"MT VERNON, IN","37.9396795,-87.8952993",ap
"MT VERNON, OH","40.3933956,-82.4857181",ap
"MULBERRY, FL","27.8953038,-81.9734172",ap
"MULFORD, TX","39.3999835,-107.1519944",ap
"MULLINS, SC","34.2060587,-79.2559892",ap
"Multnomah,  OR","45.5093799,-122.4006413",ap
"Multnomah, OR","45.5093799,-122.4006413",ap
"MURFREESBORO, TN","35.845999,-86.3920452",ap
"Murtaugh, ID","42.492414,-114.1622508",ap
"Muscantine, IA","41.413344,-91.2227216",mg
"Muscatine, IA","41.413344,-91.2227216",mg
"MUSCODA, WI","43.1853502,-90.4430489",ap
"MUSKOGEE, OK","35.7478769,-95.3696909",ap
"MYRTLEWOOD, AL","32.2504214,-87.9497371",ap
"N COLUMBUS, MS","40.0997222,-83.0273507",ap
"N LEEDS, ME","44.3434014,-70.1311661",ap
"N MILWAUKEE, WI","43.1082694,-87.95651385",ap
"N VANCOUVER , BC","49.3207133,-123.0737831",ap
"NADEAU, CA","33.9655734,-118.2425914",ap
"NAHEOLA, AL","32.2276439,-88.0289059",ap
"NAIRN, ON","29.4279955,-89.6108947",ap
"Nairn, ON","29.4279955,-89.6108947",ap
"NAMPA, ID","43.5737361,-116.5596313",ap
"NAPAVINE, WA","46.5795176,-122.9111881",ap
"Narco, LA","30.0016096,-90.4403578",mg
"NASHVILLE, TN","36.1622296,-86.7743531",ap
"NATRIUM , WV","39.7481317,-80.8514832",ap
"NATRIUM, WV","39.7481317,-80.8514832",ap
"Natrium, WV","39.7481317,-80.8514832",ap
"Natrona,  WY","42.9487008,-106.8465639",ap
"Neal, WV","38.3567493,-82.5929364",ap
"NEENAH, WI","44.1858193,-88.462609",ap
"Neenah, WI","44.1858193,-88.462609",ap
"NEPHI, UT","39.7102336,-111.8363216",ap
"NEVADA, IA","42.0227653,-93.4524342",ap
"NEVILLE ISLAND, PA","40.50626705,-80.11159449",ap
"New Auburn, WI","45.2041282,-91.5582197",ap
"NEW AUGUSTA, MS","31.2024033,-89.0347743",ap
"NEW BOHEMIA, VA","37.1837608,-77.3202559",ap
"NEW BOSTON, TX","33.4598415,-94.4154787",ap
"NEW BRAUNFELS, TX","29.7028266,-98.1257348",ap
"New Brighton, MN","45.0628999,-93.2060969",ap
"NEW CASTLE, PA","40.9999202,-80.3471856",ap
"NEW HAVEN, IN","41.0733059,-85.0173125",ap
"NEW JOHNSONVILLE, TN","36.0211715,-87.9669765",ap
"NEW LIMERICK, ME","46.1011639,-67.96002",ap
"NEW ORLEANS, LA","29.9499323,-90.0701156",ap
"New Orleans, LA","29.9499323,-90.0701156",ap
"NEW WALES, FL","27.8987983,-81.6043122",ap
"New Wales, FL","27.8987983,-81.6043122",ap
"NEW WESTMINSTER, BC","49.205728,-122.9108651",ap
"New Westminster, BC","49.205728,-122.9108651",ap
"NEW WINDSOR, MD","39.5420455,-77.1080376",ap
"NEWCASTLE, PA","40.3831915,-75.4829368",ap
"NEWPORT, MN","44.8663552,-93.0004919",ap
"NEWPORT, TN","35.9670412,-83.1876578",ap
"NEWTON, KS","38.0469166,-97.3447244",ap
"NEWTON, NC","35.6630887,-81.2219363",ap
"NIAGARA FALLS, NY","43.08436,-79.0614686",ap
"Niagara Falls, NY","43.08436,-79.0614686",ap
"NICHOLS SDG, NY","42.0210524,-76.3719178",mgdc
"NIXON, GA","33.3370863,-81.9559493",ap
"Nobles, MN","43.6634212,-95.7527672",ap
"NOGALES, AZ","31.3402134,-110.9360818",ap
"NORCO, LA","33.9323307,-117.5508901",ap
"NORCO, SK","51.826962,-105.7659946",ap
"NORCROSS, GA","33.9412127,-84.2135309",ap
"NORFOLK, VA","36.8462923,-76.2929252",ap
"NORMANDIN, PQ","48.8303483,-72.8264404",mg
"NORTH GALATEA, OH","41.1778303,-83.6446546",ap
"North Hope, AR","33.355692,-93.297084",ap
"NORTH LAPWAI, ID","46.4437758,-116.8359861",ap
"NORTH MANCHESTER, IN","41.0006005,-85.768597",ap
"NORTH SEADRIFT, TX","28.5077778,-96.7780387",ap
"NORTH ST LOUIS, MO","38.7047788,-90.2175025",ap
"North Valliant, OK","34.0023293,-95.0938386",ap
"North Vancouver, BC","49.3207133,-123.0737831",ap
"NORTH YARD, TX","40.6213665,-73.7225586",ap
"NORTHLAKE, IL","41.9172526,-87.8956185",ap
"NORTHPORT, AL","33.2292976,-87.5771286",ap
"NORTHWOOD SPUR, MN","43.361299,-75.050428",ap
"NORTON, KS","39.7944702,-99.9100033",ap
"Nouvelle West, PQ","48.1397422,-66.3482364",mg
"Nueces,  TX","27.7153774,-97.6199942",ap
"OAKBORO, NC","35.2257007,-80.3289521",ap
"OAKDALE, CA","42.7087245,-82.0390861",ap
"OAKDALE, LA","44.9630216,-92.9649361",ap
"Oakdale, WI","43.9596878,-90.3817982",ap
"OAKES, ND","46.138579,-98.090379",ap
"OAKLAND, CA","44.4521637,-64.3551639",ap
"OAKLEY, MI","37.9974219,-121.7124536",ap
"OAKS, OR","43.1873383,-123.3620161",ap
"Oaktown, IN","38.8711562,-87.4414083",ap
"OAKWOOD, TX","31.5850881,-95.8497596",ap
"Oblong, IL","39.0019867,-87.9089205",ap
"Odon, IN","38.8428256,-86.9913959",ap
"OELWEIN, IA","42.6733171,-91.9135036",ap
"OGDEN, UT","41.2230048,-111.9738429",ap
"OKEECHOBEE, FL","27.3923408,-80.8873655",ap
"OKLAHOMA CITY, OK","35.4729886,-97.5170536",ap
"Oklahoma City, OK","35.4729886,-97.5170536",ap
"OLIVE BRANCH, MS","34.9617605,-89.8295315",ap
"OMAHA, NE","41.2587459,-95.9383758",ap
"OMAL (OHIO), OH",",",
"OMAL, OH",",",
"Oneida, NY","43.2144051,-75.4039155",ap
"OPELIKA, AL","32.728672,-85.39225333",ap
"ORANGE, TX","30.0929879,-93.7365549",ap
"Oregon, IL","43.9792797,-120.737257",ap
"OREGON, WI","42.9259657,-89.3842779",ap
"ORFORDVILLE, WI","42.6278176,-89.2557081",ap
"ORLANDO, FL","28.5421109,-81.3790304",ap
"OROVILLE, WA","48.9376147,-119.4361687",ap
"Osage,  KS","38.6736049,-95.7367738",ap
"OSAWATOMI, KS","38.4970321,-94.9508229",ap
"OSBORNE, KS","39.3351558,-98.7933509",ap
"OSCEOLA, AR","35.7050778,-89.969532",ap
"OSHKOSH, WI","44.0206919,-88.5408574",ap
"Oshkosh, WI","44.0206919,-88.5408574",ap
"Osino, NV","40.9321423,-115.6606224",ap
"OTHELLO, WA","46.8259742,-119.1752913",ap
"OTTAWA , IL","45.421106,-75.690308",ap
"Ottawa, IL","45.421106,-75.690308",ap
"OTTUMWA, IA","41.0200145,-92.4112963",ap
"OWEN, AB",",",
"OXMOOR, AL","33.4328861,-86.859435",ap
"OXNARD, CA","34.1976308,-119.1803818",ap
"Pacific, MO","38.481809,-90.7415865",ap
"PADUCAH, KY","37.0833893,-88.6000478",ap
"Palestine, IL","39.0018885,-87.6308588",mg
"Palling, BC","54.3557514,-125.8782169",ap
"PALOS, AL","33.6456617,-87.0449974",ap
"PANAMA CITY, FL","30.1600827,-85.6545729",ap
"PANTACO, DF","19.48308875,-99.16975654",ap
"PANZACOLA, TL",",",
"Parachute, CO","39.4536891,-108.0529619",ap
"PARIS, IL","39.6151077,-87.7558364",mg
"PARKERSBURG, WV","39.2699565,-81.5506916",ap
"PARMERTON, TX","34.5797912,-102.8024402",ap
"PASADENA, TX","29.6910625,-95.2091006",ap
"Pasadena, TX","29.6910625,-95.2091006",ap
"PASCAGOULA, MS","30.3646795,-88.5585995",ap
"PASCO, WA","46.2306739,-119.0921006",ap
"PAULSBORO, NJ","39.830391,-75.2404608",ap
"PAYETTE, ID","44.0374651,-116.7651123",ap
"PCS CORY, SK",",",
"PECTEN, AB","49.3051141,-114.0084386",mg
"Pedricktown, NJ","39.7673357,-75.4146374",ap
"PENFIELD, PA","41.2083932,-78.5755791",ap
"PENJAMO, GJ","20.4271971,-101.7542092",mg
"PENNINGTON, AL","32.2070888,-88.0561287",ap
"PENSACOLA, FL","30.421309,-87.2169149",ap
"PEORIA, IL","40.6938609,-89.5891008",ap
"Perris, CA","33.7825194,-117.2286478",ap
"PERRY, AR","34.9616474,-92.8757514",ap
"Peru, IL","41.3459415,-89.205268",mg
"PETAL, MS","31.3465627,-89.2600605",ap
"Petal, MS","31.3465627,-89.2600605",ap
"Petersburg, IN","38.4919935,-87.2786244",ap
"PETERSBURG, ND","48.0111053,-98.0014885",ap
"PETERSBURG, VA","37.1924594,-77.3677408",ap
"PETROLIA, PA","41.0167299,-79.7175492",ap
"PHILADELPHIA, PA","39.9527237,-75.1635262",ap
"PHILLIPSBURG, KS","39.756121,-99.323985",ap
"PHOENIX, AZ","33.4485866,-112.0773456",ap
"PICKENSVILLE, AL","33.227345,-88.2664225",ap
"PICKETT, WI","43.911372,-88.7298326",ap
"Pierce Jct, TX","29.6705445,-95.4138809",mg
"Pierce,  WA","47.0022547,-122.2117983",ap
"Pierce,  WI","44.7186568,-92.3786114",ap
"PIGEON, MI","43.830338,-83.270837",ap
"PINE BLUFF, AR","34.2284312,-92.0031955",ap
"PINE HILL, AL","33.4670563,-85.4110629",ap
"PINEVILLE, NC","35.0832014,-80.8922957",ap
"PINGREE GROVE, IL","42.0686367,-88.4134159",ap
"PITTSBURG, TX","32.9954021,-94.9657688",ap
"PITTSBURGH, PA","40.4416941,-79.9900861",ap
"PLAINS, MI","33.1887135,-102.8279889",ap
"Plains, MI","33.1887135,-102.8279889",ap
"PLANO, IL","33.0136764,-96.6925096",ap
"PLANT CITY, FL","28.01806015,-82.11848199",ap
"Plant City, FL","28.01806015,-82.11848199",ap
"PLAQUEMINE, LA","30.2890833,-91.2342744",ap
"Plaquemine, LA","30.2890833,-91.2342744",ap
"PLASTER ROCK, NB","46.9088235,-67.3952726",ap
"PLAZA, ND","47.6201461,-100.540737",ap
"PLUMMER, ID","47.3351803,-116.8885094",ap
"PLYMOUTH, WI","43.7486054,-87.977038",ap
"POINCIANA, FL","28.1743275,-81.49322346",ap
"Poinciana, FL","28.1743275,-81.49322346",ap
"POLK, CA","38.5321289,-121.4088418",ap
"POMPANO BEACH, FL","26.2378597,-80.1247667",ap
"Pontotoc,  OK","34.707331,-96.6814853",ap
"PORT ALLEGANY, PA","41.810898,-78.2797352",ap
"PORT ARTHUR, TX","29.8988258,-93.9287815",ap
"Port Arthur, TX","29.8988258,-93.9287815",ap
"PORT COLBORNE, ON","42.886027,-79.253311",ap
"Port Colborne, ON","42.886027,-79.253311",ap
"PORT HURON, MI","42.9815877,-82.440466",ap
"PORT MANATEE, FL","27.6336443,-82.5614858",ap
"PORT NECHES, TX","29.9913244,-93.9585067",ap
"Port of Brownsville, TX","26.0651125,-97.2083524",ap
"Port Reading, NJ","40.5653823,-74.2604236",ap
"Port Robinson, ON","43.0617673,-79.2076814",ap
"Port Wentworth, GA","32.149092,-81.1631681",ap
"PORT WILMINGTON, DE","39.71426155,-75.52578872",ap
"Portage La Prairie, MB","49.972422,-98.289185",ap
"PORTAGE, IN","41.5758708,-87.1761455",ap
"PORTLAND, CT","41.5728924,-72.6406905",ap
"PORTLAND, IN","40.4344895,-84.9777455",ap
"PORTLAND, OR","45.5202471,-122.6741949",ap
"Portland, OR","45.5202471,-122.6741949",ap
"Poskin, WI","45.4091244,-91.9615663",ap
"POTTSTOWN, PA","40.2452976,-75.6496424",ap
"Pottstown, PA","40.2452976,-75.6496424",ap
"POTTSVILLE, PA","40.6851324,-76.1953701",ap
"Powder River Basin, CO",",",
"POWELL, WY","44.752873,-108.75902",ap
"POWERTON, IL","40.5380946,-89.6789934",ap
"PRAIRIE DU CHIE, WI","35.6319907,-79.75928032",ap
"PRATTVILLE, AL","32.4640245,-86.4596966",ap
"PRENTISS, AB","52.374771,-113.6202915",ap
"PRESCOTT, ON","44.7184132,-75.5191675",ap
"PRESIDENTE JUAR, OA",",",
"PRESIDENTE JUAREZ, OA","19.5242372,-99.2050217",mg
"PRESTO, UT","40.3736804,-80.1178337",ap
"PRESTON, GA","32.0659918,-84.537417",ap
"Preston, ID","42.099853,-111.9503678",mg
"PRICE, UT","39.5994095,-110.8107148",ap
"PRINCE GEORGE, BC","53.9128645,-122.7453699",ap
"Prince George, BC","53.9128645,-122.7453699",ap
"Prince Rupert term, BC","54.2365451,-130.3008921",mgdc
"PRINCETON, LA","38.3553236,-87.5675223",ap
"PROCTOR, MN","46.7471638,-92.2254695",ap
"PRONGHORN, WY","33.443165,-102.084681",ap
"PROVIDENCE, RI","41.8239891,-71.4128343",ap
"PROVISO, IL","41.863701,-88.0022296",mg
"PROVO, UT","40.2338438,-111.6585337",ap
"PRYOR, OK","36.3084275,-95.3169136",ap
"PTCOMFORT, TX","28.6716708,-96.596199",mg
"PUEBLA, PU","19.0437227,-98.1984744",mg
"QUALITY , WY","35.783842,-119.1195485",ap
"QUALITY, WY","35.783842,-119.1195485",ap
"Quality, WY","35.783842,-119.1195485",ap
"QUEBEC, PQ","46.820618,-71.2109534",mgdc
"Quebec, PQ","46.820618,-71.2109534",mgdc
"QUERETARO, QA","19.526638,-99.0509017",ap
"QUESNEL, BC","52.9794279,-122.4936273",ap
"Quesnel, BC","52.9794279,-122.4936273",ap
"QUINCY JCT, CA","39.9633611,-120.9147727",mg
"QUINCY, IL","39.9356016,-91.4098727",ap
"Quincy, IL","39.9356016,-91.4098727",ap
"QUINCY, WA","47.2342997,-119.8525504",ap
"Quincy, WA","47.2342997,-119.8525504",ap
"QUINLAN, FL","30.417461,-81.5992609",ap
"Quinlan, FL","30.417461,-81.5992609",ap
"QUINNESEC, MI","45.8063452,-87.988459",ap
"Quinnesec, MI","45.8063452,-87.988459",ap
"QUINTER, KS","39.069451,-100.232355",ap
"RADIUM, BC","49.0617357,-121.4789232",ap
"Radium, BC","49.0617357,-121.4789232",ap
"RAMOS ARIZPE, CU","25.540787,-100.9466688",ap
"Ramsey,  MN","45.0165728,-93.0949501",ap
"RANDOM LAKE, WI","43.55222,-87.9617585",ap
"Ransom,  ND","46.4519081,-97.6903091",ap
"Raymond, AB","49.466667,-112.666667",ap
"RED DEER, AB","52.269838,-113.818359",ap
"Red Deer, AB","52.269838,-113.818359",ap
"RED OAK, IA","41.0095189,-95.228247",ap
"Redco, ND",",",
"REDWOOD, MS","32.4776415,-90.8037138",ap
"REEDSBURG, WI","43.5324809,-90.0026259",ap
"REESE, MI","43.4505787,-83.6963533",ap
"REFUGIO, TX","28.3045305,-97.2745885",ap
"REGINA, SK","50.44876,-104.61731",ap
"Regina, SK","50.44876,-104.61731",ap
"RESERVE, LA","30.0804845,-90.6243112",mg
"Reserve, LA","30.0804845,-90.6243112",mg
"REXFORD, KS","39.471671,-100.743482",ap
"Richland,  ND","46.2247251,-96.9470748",ap
"RICHLAND, WA","46.2778406,-119.2769067",ap
"Richland, WA","46.2778406,-119.2769067",ap
"RICHMOND, CA","49.163168,-123.137414",ap
"RICHMOND, IN","39.8286897,-84.8898521",ap
"RICHMOND, VA","37.5385087,-77.43428",ap
"Richmond, VA","37.5385087,-77.43428",ap
"Richton, IL","32.579028,-90.1495312",ap
"RIDDLE, OR","42.950951,-123.364233",ap
"Ridgewood, FL","27.891415,-81.9136941",ap
"RIDGWAY, PA","41.4203391,-78.7286388",ap
"RIKER, PA","40.9496737,-78.9349109",ap
"RILEYS, ME","43.2476754,-70.8179884",ap
"Rileys, ME","43.2476754,-70.8179884",ap
"RINCON, GA","32.2919073,-81.303609",mg
"RIPON, CA","45.7831185,-75.0997632",ap
"RIPON, WI","43.8424502,-88.8372972",ap
"RIRIE, ID","43.63131,-111.773593",ap
"RIVER GATE, OR","45.542174,-122.6884527",mgdc
"RIVERDALE, IL","41.5444778,-90.4581879",ap
"RIVERVIEW, OH","40.0578505,-80.7350825",ap
"RIVIERE PRAIRIE, PQ","45.6572731,-73.5846607",mg
"ROANOKE, VA","37.2738215,-79.96020215",ap
"ROARING SPRING (EV), PA","40.3342539,-78.4122276",mg
"Robards, KY","37.6739325,-87.5466747",ap
"ROBARDS, TX","37.6739325,-87.5466747",ap
"ROBERTA, AL","33.0959524,-86.806932",ap
"Roberts Bank, BC","39.8770122,-82.0893074",ap
"ROBINSON, IL","39.00871,-87.7523336",mg
"Robinson, IL","39.00871,-87.7523336",mg
"Robinson, Il","39.00871,-87.7523336",mg
"ROCHELLE, IL","41.9239178,-89.0687074",ap
"Rochelle, IL","41.9239178,-89.0687074",ap
"ROCHESTER, NY","43.157285,-77.615214",ap
"ROCK SPRINGS, WI","43.4778922,-89.9164793",ap
"ROCK SPRINGS, WY","41.5869225,-109.2047867",ap
"ROCKFORD, IL","42.2713945,-89.093966",ap
"ROCKY MOUNT, NC","35.9423833,-77.7956949",ap
"Roff, OK","34.6275494,-96.8405929",ap
"ROGERS, AR","36.3357629,-94.3005687",mg
"ROLLA, CO","39.8691523,-104.8913653",ap
"ROME, GA","34.257038,-85.1646726",ap
"ROMULUS, MI","42.2222614,-83.3965995",ap
"Roseland, LA","41.7019787,-87.625881",ap
"ROWLEY , UT","40.914,-112.732",ap
"Rowley, UT","40.914,-112.732",ap
"RUCKS SPUR, AR",",",
"Ruebel, MN",",",
"RULETON, KS","39.3394436,-101.889344",ap
"RUMFORD, ME","44.554271,-70.551453",ap
"Rumford, ME","44.554271,-70.551453",ap
"RUSH CITY, MN","45.6855145,-92.9654903",ap
"Rush Tower, MO",",",
"RUSHVILLE, IN","39.608756,-85.4469755",ap
"Russell, WV","39.4528628,-80.1427774",ap
"RUSSELLVILLE, AR","35.2784173,-93.1337856",ap
"RYAN, AL","33.1678948,-86.866656",ap
"RYE JCT, WA",",",
"SABINAS, CU","27.8524011,-101.1183777",ap
"SAGOLA, MI","46.0902267,-88.0776337",ap
"SAGUENAY POWER, PQ",",",
"Saint John, MB","45.1098904,-66.6024505",mg
"SAINT JOHN, NB","45.278752,-66.058044",ap
"SALAMANCA, NY","42.1578412,-78.7150311",ap
"SALEM, AL","32.5968028,-85.2385527",ap
"SALEM, IL","44.9391565,-123.033121",ap
"SALEM, OR","44.9391565,-123.033121",ap
"SALINA, KS","38.8402805,-97.6114237",ap
"SALINA, TX","38.8402805,-97.6114237",ap
"SALISBURY (DCR), MD","38.3776234,-75.7304979",mg
"SALT LAKE CITY, UT","40.7670126,-111.8904308",ap
"Salt Lake,  UT","40.6632297,-111.9103124",ap
"SALTILLO, CU","25.4306326,-101.1233233",mg
"SAN ANGELO, TX","31.4648357,-100.4398442",ap
"SAN ANTONIO , TX","29.4246002,-98.4951405",ap
"SAN ANTONIO, TX","29.4246002,-98.4951405",ap
"SAN DIEGO, CA","32.7174209,-117.1627714",ap
"SAN FRANCISCO, CA","45.4149778,-72.749396",ap
"SAN JUAN DEL RIO, QA","30.2921667,-109.3505",ap
"SAN LUIS POTOSI, SL","22.1131157,-101.2370011",mg
"SAN NICOLAS, NL","25.7360248,-100.3403234",mg
"SAND SPRINGS, OK","36.1394339,-96.1100025",ap
"SANTA CATARINA, NL","25.70002,-100.5160478",ap
"SANTA FE SPRING, CA","34.5798281,-112.4844518",ap
"SANTA FE, VL",",",
"SANTA MARIA, CA","34.9531295,-120.4358577",ap
"SARALAND, AL","30.820742,-88.0705556",ap
"SARNIA, ON","42.992595,-82.380981",ap
"Sarnia, ON","42.992595,-82.380981",ap
"Saskatoon Inter Term, SK","52.1397424,-106.9276274",mg
"SASKATOON TFR, SK","52.1397424,-106.9276274",mg
"SASKATOON, SK","52.131802,-106.660767",ap
"SAULT STE MARIE , ON","46.52391,-84.320068",ap
